Subject;Party;RevAOTE;CRT_ACC;Conspiracist_Ideation;Paranormal_Belief;MV_Traditional;MV_CareFairness;Social_Conserv;Fiscal_Conserv;FreeMarketIdeology;ConservativeOpinions;Science_Overall;Religious_Belief;GodType;Theism;PolCat;Conservatism;IdeologicalStrength;DemRep_C;MV_Rationality;Random;P.Abortion;P.GayMarriage;P.Military;P.CapitalPunishment;P.MenFeminism;P.PoliceAuthority;P.War;P.ControlSpeakers;P.MenSexism;P.MicroAggressions;GovTrust;P.GlobalWarming;P.BigBang;P.Evolution;P.OldEarth;P.StemCell;P.Vaccines;P.TechProblems;P.ModernMedicine;P.IQHeritable;P.Detox;P.Genes;P.GM_Health;P.NuclearPower;TrustScien;Education.0;ResponseID;ResponseSet;Name;ExternalDataReference;Email;Status;StartDate;EndDate;Finished;age;gender;hhi;ethnicity;hispanic;education;political_party;region;confirmCode;Order;Consent;AOT2;AOT2_1;AOT2_2;AOT2_3;AOT2_4;AOT2_5;AOT2_6;AOT2_7;AOT2_8;AOT_RT_1;AOT_RT_2;AOT_RT_3;AOT_RT_4;CI;CI_1;CI_2;CI_3;CI_4;CI_5;CI_6;CI_7;CI_8;CI_9;CI_10;CI_11;CI_12;CI_13;CI_14;CI_15;CI_RT_1;CI_RT_2;CI_RT_3;CI_RT_4;PB;PB_1;PB_2;PB_3;PB_4;PB_5;PB_6;PB_7;PB_8;PB_9;PB_10;PB_11;PB_12;PB_13;PB_14;PB_15;PB_16;PB_17;PB_18;PB_19;PB_20;PB_21;PB_22;PB_RT_1;PB_RT_2;PB_RT_3;PB_RT_4;Moral;Kindness;Purity;Autonomy;Helfpulnes;RespectAut;Fairness;AvoidHarm;Rights;Patriotism;RespectTra;Knowledge;Facts;Empiricism;Irrational;Ignorance;Moral_RT_1;Moral_RT_2;Moral_RT_3;Moral_RT_4;Sci;Evolution;GlobalWarm;TechProble;GM_Health;BigBang;Vaccines;OldEarth;ModMedicin;StemCell;IQHeritable;Detox;NuclearPower;Genes;Sci_RT_1;Sci_RT_2;Sci_RT_3;Sci_RT_4;Politic;Abortion;GayMarriag;War;CapitalPun;Military;PoliceAuth;Microaggre;ControSpea;MenSexism;MenFeminis;FMI_1;FMI_2;FMI_3;FMI_4;FMI_5;Politic_RT_1;Politic_RT_2;Politic_RT_3;Politic_RT_4;Rb_1;Rb_2;Rb_3;Rb_4;Rb_5;Rb_6;Rb_7;Rb_8;Rb_9;CRTInst;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Age.0;English;Income;Ethnicity_1;Ethnicity_2;Ethnicity_3;Ethnicity_4;Ethnicity_5;Ethnicity_6;Ethnicity_6_TEXT;Ethnicity_8;Social_Conservatism;Fiscal_Conservatism;Party_TEXT;POTUS2016;Trump_favorability_1;Trump_2020;Gender.0;Gender_2;Gender_TEXT;LocationLatitude;LocationLongitude;LocationAccuracy;AOT2b_1;AOT2b_2;AOT2b_3;AOT2b_4;AOT2b_5;AOT2b_6;AOT2b_7;AOT2b_8;P.AOT2_1;P.AOT2_2;P.AOT2_3;P.AOT2_4;P.AOT2_5;P.AOT2_6;P.AOT2_7;P.AOT2_8;P.CI_1;P.CI_2;P.CI_3;P.CI_4;P.CI_5;P.CI_6;P.CI_7;P.CI_8;P.CI_9;P.CI_10;P.CI_11;P.CI_12;P.CI_13;P.CI_14;P.CI_15;P.PB_1;P.PB_2;P.PB_3;P.PB_4;P.PB_5;P.PB_6;P.PB_7;P.PB_8;P.PB_9;P.PB_10;P.PB_11;P.PB_12;P.PB_13;P.PB_14;P.PB_15;P.PB_16;P.PB_17;P.PB_18;P.PB_19;P.PB_20;P.PB_21;P.PB_22;P.Kindness;P.Purity;P.Autonomy;P.Helpfulness;P.RespectAuthority;P.Fairness;P.AvoidHarm;P.Rights;P.Patriotism;P.RespectTradition;P.Knowledge;P.Facts;P.Empiricism;P.Irrational;P.Ignorance;TechProblems;GM_Health2;Vaccines2;Detox2;PI.Abortion;PI.GayMarriage;PI.MicroAggressions;PI.ControlSpeakers;PI.MenFeminism;FMIb_1;FMIb_2;FMIb_3;FMIb_4;FMIb_5;P.FMI_1;P.FMI_2;P.FMI_3;P.FMI_4;P.FMI_5;P.Rb_1;P.Rb_2;P.Rb_3;P.Rb_4;P.Rb_5;P.Rb_6;P.Rb_7;P.Rb_8;P.Rb_9;CRT_ACC_1;CRT_ACC_2;CRT_ACC_3;CRT_ACC_4;CRT_ACC_5;CRT_ACC_6;AOT_split;DemRep;RepDem;ZConservativeOpinions;ZRevAOTE;ZCRT_ACC;ZDemRep_C;AOTxCRT;AOTxDemRep;DemRepxCRT;AOTxDemRepxCRT;ZConspiracist_Ideation;ConspxDemRep;AOTxDemRepxConsp;Hisp;White;Black;ZConservatism;AOTxConserv;College;CollegeDegree
1;2;85;.5;30;21.2121212121212;95;80;100;100;80;95;39.7435897435897;100;1;1;3;100;50;6;24;2;100;100;100;100;100;83.3333333333333;83.3333333333333;100;83.3333333333333;100;1;0;0;0;0;66.6666666666667;33.3333333333333;100;33.3333333333333;83.3333333333333;16.6666666666667;50;50;83.3333333333333;2;3;R_SBr3scpQfGBca3f;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;45;1;6;15;1;6;5;2;174926;1;1;1;6;6;5;1;1;2;5;6;8.51;54.472;55.97;28;1;4;1;4;2;2;2;1;1;1;1;1;2;5;2;4;3.411;71.209;72.819;52;1;1;7;1;1;1;1;1;7;1;1;1;1;1;7;1;1;4;1;2;7;1;1;3.257;75.666;76.669;76;1;6;6;2;6;6;6;6;4;6;5;2;2;2;3;2;7.647;67.648;69.153;51;1;1;1;1;4;1;5;1;3;5;6;6;6;4;2.563;58.4;59.299;47;1;1;1;6;7;7;6;1;1;6;1;7;1;7;1;7;10.377;99.722;101.184;58;7;7;7;7;7;7;7;7;7;1;8;50;20;2;8;3;45;1;4;1; ;1; ; ; ; ; ;5;5; ;2;100;7;6; ; ;32.97200012207;-96.791397094727;-1;6;6;2;6;6;5;5;6;100;100;20;100;100;80;80;100;75;0;75;25;25;25;0;0;0;0;0;25;100;25;75;0;100;0;0;0;0;0;100;0;0;0;0;0;100;0;0;50;0;16.6666666666667;100;0;0;100;100;20;100;100;100;100;60;100;80;20;20;20;40;20;7;4;3;2;7;7;7;7;7;7;7;7;7;1;100;100;100;100;0;100;100;100;100;100;100;100;100;100;0;0;0;1;1;1;2;2;1;2.60569652843679;.709103066829254;.563140804232796;1.93793300005435;.399324871338168;1.37419423364816;1.09132914819988;.773864845908695;-1.04549880672928;-2.02610663907811;-1.4367184314934;0;0;0;1.88287752716915;1.33515422897952;2;1
2;1;62.5;.333333333333333;80;71.2121212121212;75;83.3333333333333;50;50;56.6666666666667;48.3333333333333;80.7692307692308;92.5925925925926;3;1;4;50;0;3;64;2;0;0;83.3333333333333;100;100;66.6666666666667;83.3333333333333;33.3333333333333;0;16.6666666666667;2;66.6666666666667;83.3333333333333;83.3333333333333;83.3333333333333;83.3333333333333;100;100;83.3333333333333;66.6666666666667;66.6666666666667;83.3333333333333;83.3333333333333;66.6666666666667;4;6;R_8GoUIcKOxwTzAC5;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;37;2;8;11;2;7;3;2;82437;2;1;1;6;5;4;3;5;3;5;4;1.242;85.1;88.242;30;1;5;2;4;4;4;2;5;5;5;5;5;5;4;4;4;1.297;80.984;82.614;62;1;6;7;3;6;2;6;6;6;2;6;6;2;6;6;1;7;7;6;6;7;6;6;2.888;72.141;72.736;68;1;6;3;5;6;5;4;6;4;5;6;3;4;4;5;5;1.382;70.016;70.589;58;1;6;5;1;2;6;1;6;6;6;5;3;5;6;2.597;65.221;66.811;47;1;7;7;6;7;6;5;6;5;1;1;4;3;5;4;4;3.592;92.448;93.23;68;7;6;7;6;7;7;6;7;6;1;8;10;20;1;7;3;37;1;5; ; ; ; ; ;1; ; ;3;3; ;2;66;5;5; ; ;42.600494384766;-82.999801635742;-1;6;5;3;4;2;4;5;4;100;80;40;60;20;60;80;60;100;25;75;75;75;25;100;100;100;100;100;100;75;75;75;83.3333333333333;100;33.3333333333333;83.3333333333333;16.6666666666667;83.3333333333333;83.3333333333333;83.3333333333333;16.6666666666667;83.3333333333333;83.3333333333333;16.6666666666667;83.3333333333333;83.3333333333333;0;100;100;83.3333333333333;83.3333333333333;100;83.3333333333333;83.3333333333333;100;40;80;100;80;60;100;60;80;100;40;60;60;80;80;7;6;7;5;1;1;2;3;7;4;5;5;4;4;50;66.6666666666667;66.6666666666667;50;50;100;83.3333333333333;100;83.3333333333333;100;100;83.3333333333333;100;83.3333333333333;0;1;0;0;0;1;2;1;2;.0596341821485831;-1.30988738471882;-.040451856412649;-.0468709376757341;.052987376403386;.061395649971386;.00189601644078502;-.00248356801700377;1.2413920463474;-.0581852092355008;.0762160715548073;1;0;0;.041999467304118;-.0550145723865746;2;2
3;3;60;.833333333333333;66.6666666666667;23.4848484848485;10;53.3333333333333;50;50;50;33.3333333333333;52.5641025641026;22.2222222222222;6;3;4;50;0;3;48;2;0;0;0;66.6666666666667;83.3333333333333;16.6666666666667;16.6666666666667;83.3333333333333;0;66.6666666666667;1;33.3333333333333;50;83.3333333333333;50;66.6666666666667;83.3333333333333;83.3333333333333;0;33.3333333333333;50;50;50;50;3;3;R_qJdTBXZqalKud5D;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;20;2;13;15;2;6;4;1;949536;2;1;1;5;4;3;5;4;3;6;4;12.859;63.452;64.04;26;1;4;4;3;3;4;3;3;4;3;4;3;5;4;4;4;7.498;114.697;115.511;49;1;1;2;1;4;2;1;1;2;1;1;2;1;1;5;1;4;6;4;5;2;1;5;7.71;122.649;123.711;55;1;4;1;3;3;2;4;4;4;1;2;5;5;4;1;2;8.343;164.425;165.052;57;1;6;3;2;4;4;2;4;1;5;3;4;4;4;12.693;254.276;256.028;48;1;7;7;2;5;1;2;3;2;1;2;4;4;4;4;4;8.325;588.776;590.836;64;4;2;3;2;2;2;3;2;1;1;4;10;20;2;8;3;20;1;8; ; ; ; ; ;1; ; ;3;3; ;1;0;1;5; ; ;40.869094848633;-73.919097900391;-1;5;4;4;2;3;4;6;4;80;60;60;20;40;60;100;60;75;75;50;50;75;50;50;75;50;75;50;100;75;75;75;0;16.6666666666667;0;50;16.6666666666667;0;0;16.6666666666667;0;0;16.6666666666667;0;0;66.6666666666667;0;50;83.3333333333333;50;66.6666666666667;16.6666666666667;0;66.6666666666667;60;0;40;40;20;60;60;60;0;20;80;80;60;0;20;6;4;6;4;1;1;5;6;6;4;4;4;4;4;50;50;50;50;50;50;16.6666666666667;33.3333333333333;16.6666666666667;16.6666666666667;16.6666666666667;33.3333333333333;16.6666666666667;0;1;1;0;1;1;1;1;1;2;-1.60900168054603;1.29466161677986;2.36575530515071;-.2075126690235;3.06285258827196;-.268658687580269;-.490924197628329;-.63558071541785;.63155448552695;-.131055556925461;-.169672599217102;1;0;0;.041999467304118;.0543750982438423;2;1
4;1;87.5;.166666666666667;46.6666666666667;51.5151515151515;30;76.6666666666667;0;0;63.3333333333333;8.33333333333333;75.6410256410256;50;5;2;1;0;50;1;36;2;0;0;0;33.3333333333333;0;0;33.3333333333333;0;16.6666666666667;0;1;100;100;83.3333333333333;100;83.3333333333333;100;83.3333333333333;83.3333333333333;83.3333333333333;50;0;66.6666666666667;50;4;2;R_1jcwZsqLS5wdznJ;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;31;1;1;1;1;2;1;2;319297;1;1;1;6;6;3;2;2;2;6;6;7.642;43.61;44.177;19;1;4;4;4;3;4;2;1;3;3;2;2;2;1;3;5;11.601;108.857;109.556;40;1;4;4;1;4;4;4;4;7;3;4;4;4;5;4;4;4;4;4;4;6;4;4;5.047;368.775;369.287;59;1;5;2;3;4;3;5;6;6;2;3;5;3;4;1;1;3.492;72.901;73.5;49;1;6;7;2;3;7;1;7;6;6;6;4;4;1;5.869;75.62;76.194;44;1;7;7;3;3;1;1;7;7;2;7;6;4;4;2;4;8.201;211.013;211.464;62;4;4;4;4;4;4;4;4;4;1;8;50;20;1;8;1;31;1;1;1; ; ; ; ; ; ; ;1;1; ;1;0;1;4; ; ;44.481994628906;-88.020500183105;-1;6;6;4;5;5;5;6;6;100;100;60;80;80;80;100;100;75;75;75;50;75;25;0;50;50;25;25;25;0;50;100;50;50;0;50;50;50;50;100;33.3333333333333;50;50;50;66.6666666666667;50;50;50;50;50;50;83.3333333333333;50;50;80;20;40;60;40;80;100;100;20;40;80;40;60;0;0;6;5;7;4;1;1;1;1;1;6;4;4;6;4;83.3333333333333;50;50;83.3333333333333;50;50;50;50;50;50;50;50;50;50;0;0;0;0;1;0;2;1;2;-2.12270497181273;.933435339223485;-.644044517058094;-1.37007356282913;-.601173912255147;-1.27887508088053;.882388366106346;.823652483843333;-.283201855703719;.388007375443814;.362179796118611;0;1;0;-1.79887859256091;-1.67913684926896;1;1
5;1;87.5;.166666666666667;100;50;20;60;50;50;60;28.3333333333333;62.8205128205128;100;3;1;4;50;0;1;40;2;0;0;100;100;0;0;83.3333333333333;0;0;0;7;100;66.6666666666667;100;100;50;100;66.6666666666667;66.6666666666667;66.6666666666667;0;100;0;0;2;4;R_2rSYcVfwsYGORjb;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;38;1;13;1;2;4;1;2;42870;1;1;1;6;6;1;4;2;2;6;6;4.539;60.963;61.54;28;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4.033;46.673;47.28;40;1;1;5;1;5;1;5;4;1;4;5;5;6;4;5;1;7;6;4;6;4;4;4;4.036;119.618;120.327;82;1;4;1;5;5;3;5;3;2;3;1;4;3;4;3;1;1.944;96.331;97.001;55;1;7;7;3;7;5;1;7;5;4;5;7;1;7;8.009;77.15;77.503;47;1;7;7;6;7;7;1;7;7;1;7;4;4;7;4;4;7.281;114.597;115.345;66;7;7;7;7;7;7;7;7;7;1;8;50;20;1;8;1;38;1;8;1; ; ; ; ; ; ; ;3;3; ;1;27;1;4; ; ;41.923004150391;-87.75309753418;-1;6;6;6;3;5;5;6;6;100;100;100;40;80;80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;66.6666666666667;0;66.6666666666667;0;66.6666666666667;50;0;50;66.6666666666667;66.6666666666667;83.3333333333333;50;66.6666666666667;0;100;83.3333333333333;50;83.3333333333333;50;50;50;60;0;80;80;40;80;40;20;40;0;60;40;60;40;0;5;1;7;1;1;1;1;1;1;4;4;7;4;4;50;50;100;50;50;100;100;100;100;100;100;100;100;100;0;0;0;0;1;0;2;1;2;-1.03153539483208;.933435339223485;-.644044517058094;-1.37007356282913;-.601173912255147;-1.27887508088053;.882388366106346;.823652483843333;2.15614838757806;-2.95408190335735;-2.75744444355433;1;1;0;.041999467304118;.039203787010225;2;2
6;1;57.5;.166666666666667;76.6666666666667;66.6666666666667;55;70;50;25;50;51.6666666666667;55.1282051282051;61.1111111111111;1;1; ;37.5;12.5;2;76;2;33.3333333333333;33.3333333333333;50;66.6666666666667;50;100;83.3333333333333;16.6666666666667;66.6666666666667;16.6666666666667;7;50;83.3333333333333;66.6666666666667;66.6666666666667;66.6666666666667;66.6666666666667;16.6666666666667;66.6666666666667;33.3333333333333;33.3333333333333;83.3333333333333;50;33.3333333333333;3;3;R_xfkjNqaHPwYTICR;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;44;2;1;15;2;6;1;4;745781;1;1;1;5;6;4;6;5;5;6;6;3.16;21.466;22.145;19;1;4;5;4;4;4;4;4;2;3;4;4;4;5;5;5;1.193;29.996;31.038;31;1;3;6;5;5;4;3;5;6;2;5;5;6;6;7;5;5;6;6;5;5;6;4;5.785;97.446;98.667;63;1;3;2;4;6;5;5;5;4;4;4;6;4;5;5;4;2.301;46.897;48.271;32;1;5;4;6;4;6;3;5;5;5;3;5;3;6;10.304;61.625;61.674;32;1;5;5;6;5;4;7;6;6;5;4;5;5;5;5;4;1.768;40.773;40.821;40;5;5;3;5;7;4;4;2;7;1;8;50;20;2;7;1;32;1;3;1; ; ; ; ; ; ; ;3;2; ;1;10;1;2;2; ;32.322402954102;-106.80410003662;-1;5;6;3;1;2;2;6;6;80;100;40;0;20;20;100;100;75;100;75;75;75;75;75;25;50;75;75;75;100;100;100;33.3333333333333;83.3333333333333;66.6666666666667;66.6666666666667;50;33.3333333333333;66.6666666666667;83.3333333333333;16.6666666666667;66.6666666666667;66.6666666666667;83.3333333333333;83.3333333333333;100;66.6666666666667;66.6666666666667;83.3333333333333;83.3333333333333;66.6666666666667;66.6666666666667;83.3333333333333;50;40;20;60;100;80;80;80;60;60;60;100;60;80;80;60;2;4;5;3;3;3;2;2;4;5;3;5;3;4;66.6666666666667;33.3333333333333;66.6666666666667;33.3333333333333;50;66.6666666666667;66.6666666666667;33.3333333333333;66.6666666666667;100;50;50;16.6666666666667;100;0;0;0;1;0;0;1;1;2;-.127447905790235;.925041878901283;-.304880900126228;-.87225664267505;-.28202760069388;-.806873923624253;.265934390359851;.246000448122944;1.08893265614228;-.949828742745894;-.878631364824105;1;0;0;-.418220047662139;-.386871058683569;2;1
7;1;80;0;71.6666666666667;56.8181818181818;65;73.3333333333333;0;50;50;53.3333333333333;56.4102564102564;90.7407407407407;1;1; ;25;25;2;60;2;100;0;33.3333333333333;100;0;83.3333333333333;50;33.3333333333333;83.3333333333333;50;1;83.3333333333333;83.3333333333333;66.6666666666667;66.6666666666667;83.3333333333333;50;50;50;83.3333333333333;0;66.6666666666667;0;50;3;3;R_2eRPtbz7UjgXTy4;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;43;2;2;15;1;6;1;3;771623;1;1;1;6;6;6;1;1;2;5;5;35.88;97.319;98.634;25;1;4;3;4;3;4;3;4;4;4;4;4;5;4;4;4;9.836;112.813;113.494;40;1;4;4;1;4;4;5;5;5;4;4;4;5;5;4;6;5;4;4;5;5;5;5;22.51;208.962;216.62;59;1;5;2;4;5;5;5;5;4;4;6;5;5;1;4;5;23.592;224.125;224.96;52;1;5;6;4;7;6;4;5;4;6;6;7;4;5;7.544;107.759;110.592;44;1;1;7;4;7;3;6;4;5;6;7;4;5;6;5;4;38.52;272.887;275.001;51;6;7;7;7;7;5;5;7;7;1;8;1;20;1;7;1;43;1;2;1;1; ; ; ; ; ; ;1;3; ;1;2;1;2;2; ;36.986404418945;-76.416496276855;-1;6;6;1;6;6;5;5;5;100;100;0;100;100;80;80;80;75;50;75;50;75;50;75;75;75;75;75;100;75;75;75;50;50;0;50;50;66.6666666666667;66.6666666666667;66.6666666666667;50;50;50;66.6666666666667;66.6666666666667;50;83.3333333333333;66.6666666666667;50;50;66.6666666666667;66.6666666666667;66.6666666666667;66.6666666666667;80;20;60;80;80;80;80;60;60;100;80;80;0;60;80;4;1;4;1;7;1;4;3;1;4;3;6;3;4;50;33.3333333333333;83.3333333333333;33.3333333333333;50;83.3333333333333;100;100;100;100;66.6666666666667;66.6666666666667;100;100;0;0;0;0;0;0;2;1;2;.332426576393747;.260438522040794;-1.24763717770354;-.70847225025243;-.324932782604257;-.184513465762658;.883916318786216;.230205859672421;.860243570834617;-.609458698394387;-.15872652265474;0;0;0;-.878439562628396;-.228779501393101;2;1
8;1;90;.333333333333333;53.3333333333333;38.6363636363636;70;90;25;50;50;20;66.6666666666667;51.8518518518518;1;1; ;37.5;12.5;2;76;2;16.6666666666667;0;16.6666666666667;66.6666666666667;0;16.6666666666667;33.3333333333333;33.3333333333333;16.6666666666667;0;1;100;83.3333333333333;100;100;66.6666666666667;100;83.3333333333333;66.6666666666667;66.6666666666667;16.6666666666667;50;16.6666666666667;16.6666666666667;3;3;R_3GBY3gCZU25yolj;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;21;2;7;2;2;6;3;2;483920;2;1;1;6;6;3;3;1;1;6;6;1.049;42.479;42.994;20;1;5;4;4;2;4;2;2;4;2;3;2;3;4;2;4;8.584;92.604;93.106;36;1;4;5;1;4;1;1;4;5;4;4;1;1;4;4;1;4;5;5;1;5;4;5;6.913;75.174;75.929;44;1;6;4;5;5;6;5;6;6;3;5;6;6;4;5;3;2.614;80.406;81.017;34;1;7;7;2;6;6;1;7;5;5;5;6;2;4;7.383;73.294;73.835;29;1;6;7;3;5;2;2;7;5;2;7;4;4;4;4;4;11.76;97.36;98.022;37;4;4;4;4;4;4;5;4;4;1;8;50;20;1;8;3;21;1;6; ;1; ; ; ; ; ; ;2;3; ;3;0;1;2;2; ;41.945693969727;-87.739303588867;-1;6;6;4;4;6;6;6;6;100;100;60;60;100;100;100;100;100;75;75;25;75;25;25;75;25;50;25;50;75;25;75;50;66.6666666666667;0;50;0;0;50;66.6666666666667;50;50;0;0;50;50;0;50;66.6666666666667;66.6666666666667;0;66.6666666666667;50;66.6666666666667;100;60;80;80;100;80;100;100;40;80;100;100;60;80;40;6;2;7;2;2;1;1;3;1;4;4;4;4;4;50;50;50;50;50;50;50;50;50;50;50;66.6666666666667;50;50;0;0;0;0;1;1;2;1;2;-1.48618938524068;1.15776761161771;-.040451856412649;-.70847225025243;-.0468338491843754;-.820246225072183;.0286590177395577;.0331804825196374;.021716924706504;-.0153858385153795;-.0178132255106868;1;0;1;-.418220047662139;-.484201625712442;2;1
9;1;42.5;0;50;45.2380952380952;25;40;50;0;56.6666666666667;50;39.7435897435897;57.4074074074074;2;1; ;25;25;1;72;2;66.6666666666667;66.6666666666667;33.3333333333333;83.3333333333333;33.3333333333333;0;33.3333333333333;50;33.3333333333333;100;1;33.3333333333333;16.6666666666667;0;66.6666666666667;66.6666666666667;66.6666666666667;33.3333333333333;0;66.6666666666667;50;33.3333333333333;16.6666666666667;66.6666666666667;5;3;R_2PBZem0VlJNjwJZ;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;61;2;1;2;1;6;1;3;750185;2;1;1;4;4;4;5;4;3;1;4;3.525;30.632;31.835;19;1;4;3;5;1;1;4;4;4;3;4;3;2;2;4;1;6.797;28.102;28.68;32;1;3;4;2;4;5; ;3;5;3;2;5;5;4;4;6;2;3;1;5;4;5;3;19.128;235.821;236.917;58;1;1;2;3;3;1;2;6;3;2;4;4;1;6;6;6;2.177;22.513;23.827;31;1;1;3;5;6;2;3;5;1;5;5;4;5;3;17.859;35.361;36.233;29;1;3;3;3;6;3;1;1;4;3;5;2;2;6;3;5;6.76;42.636;43.476;38;3;5;6;4;3;4;3;5;7;1;8;50;20;1;7;1;32;1;3; ;1; ; ; ; ; ; ;3;1; ;1;14;1;2;2; ;28.195098876953;-81.606201171875;-1;4;4;3;2;3;4;1;4;60;60;40;20;40;60;0;60;75;50;100;0;0;75;75;75;50;75;50;25;25;75;0;33.3333333333333;50;16.6666666666667;50;66.6666666666667; ;33.3333333333333;66.6666666666667;33.3333333333333;16.6666666666667;66.6666666666667;66.6666666666667;50;50;83.3333333333333;16.6666666666667;33.3333333333333;0;66.6666666666667;50;66.6666666666667;33.3333333333333;0;20;40;40;0;20;100;40;20;60;60;0;100;100;100;3;2;5;4;5;5;7;4;3;2;6;6;5;3;16.6666666666667;83.3333333333333;83.3333333333333;66.6666666666667;33.3333333333333;33.3333333333333;66.6666666666667;83.3333333333333;50;33.3333333333333;50;33.3333333333333;66.6666666666667;100;0;0;0;0;0;0;1;1;2;-.262134612586216;-1.2926765483702;-.972539951445464;-1.5370006163266;1.25717958758664;1.98684465155593;1.49479450477392;-1.93228580095389;-.130742465498608;.200951250051419;-.259764968307144;0;0;1;-.878439562628396;1.1355382217703;2;1
10;1;62.5;.166666666666667;43.3333333333333;40.9090909090909;90;60;25;50;50;51.6666666666667;57.6923076923077;81.4814814814815;1;1; ;37.5;12.5;2;72;2;33.3333333333333;50;83.3333333333333;66.6666666666667;16.6666666666667;83.3333333333333;66.6666666666667;16.6666666666667;50;50;2;33.3333333333333;83.3333333333333;16.6666666666667;83.3333333333333;66.6666666666667;66.6666666666667;66.6666666666667;0;100;66.6666666666667;16.6666666666667;83.3333333333333;66.6666666666667;4;3;R_1eLeVBmeNQXzXBX;Default Response Set;Anonymous; ; ;0;5/9/2019;5/9/2019;1;22;2;5;2;1;2;1;3;84327;1;1;1;6;3;4;4;4;2;5;5;3.77;25.471;27.055;21;1;4;1;1;3;2;4;1;3;4;3;3;2;5;2;3;3.079;36.849;37.994;36;1;5;5;1;6;6;1;5;2;4;5;4;3;4;2;4;2;2;5;4;3;1;2;3.857;38.325;39.001;46;1;4;6;4;3;6;4;4;5;4;6;6;5;4;4;4;5.175;28.059;29.13;30;1;2;3;3;2;6;3;6;1;5;7;3;5;2;3.773;25.309;35.655;29;1;5;4;5;5;6;6;4;6;4;6;5;5;3;1;6;4.152;42.437;43.301;39;6;7;7;7;6;3;3;7;7;1;8;50;80;1;7;3;22;1;4; ;1; ; ; ; ; ; ;2;3; ;1;0;1;2;2; ;37.073699951172;-76.498802185059;-1;6;3;3;3;3;5;5;5;100;40;40;40;40;80;80;80;75;0;0;50;25;75;0;50;75;50;50;25;100;25;50;66.6666666666667;66.6666666666667;0;83.3333333333333;83.3333333333333;0;66.6666666666667;16.6666666666667;50;66.6666666666667;50;33.3333333333333;50;16.6666666666667;50;16.6666666666667;16.6666666666667;66.6666666666667;50;33.3333333333333;0;16.6666666666667;60;100;60;40;100;60;60;80;60;100;100;80;60;60;60;5;6;5;5;3;4;4;2;2;5;3;3;7;2;66.6666666666667;33.3333333333333;33.3333333333333;100;16.6666666666667;83.3333333333333;100;100;100;83.3333333333333;33.3333333333333;33.3333333333333;100;100;0;0;0;0;0;1;2;1;2;.241495778312026;-1.30988738471882;-.644044517058094;-.70847225025243;.84362578809172;.928018863029011;.456287668262887;-.59768546046032;-.43566124590883;.308653903236806;-.404301854094115;0;0;1;-.418220047662139;.547821164469139;2;1
